feature,importance,importance_norm
IncomePerRoom,0.35913287602799976,0.3591328760279998
MedInc,0.19307897072836655,0.19307897072836658
RoomsPerPerson,0.13514483187453222,0.13514483187453225
Longitude,0.10031852731300014,0.10031852731300016
Latitude,0.08849093948104499,0.088490939481045
AveOccup,0.05766979951721027,0.057669799517210275
HouseAge,0.0342035879280587,0.03420358792805871
AveBedrms,0.008516858537623578,0.00851685853762358
BedroomsPerRoom,0.008480800485005132,0.008480800485005133
AveRooms,0.007666394505859813,0.007666394505859814
Population,0.007296413601298831,0.007296413601298832
